rating;sadcolor;Gender;Age;musician;ID;condition;day born;happycolor;stim;no
8;2;Male;22;No;1;sad;21;9;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 9.wav;1
2;2;Male;22;No;1;sad;21;9;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 8.wav;2
6;2;Male;22;No;1;sad;21;9;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 11.wav;3
1;2;Male;22;No;1;sad;21;9;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 13.wav;4
5;2;Male;22;No;1;sad;21;9;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 22.wav;5
9;2;Male;22;No;1;sad;21;9;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 6.wav;6
9;2;Male;22;No;1;sad;21;9;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 7.wav;7
10;2;Male;22;No;1;sad;21;9;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 3.wav;8
3;2;Male;22;No;1;sad;21;9;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 19.wav;9
1;2;Male;22;No;1;sad;21;9;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 10.wav;10
1;2;Male;22;No;1;sad;21;9;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 24.wav;11
2;2;Male;22;No;1;sad;21;9;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 17.wav;12
1;2;Male;22;No;1;sad;21;9;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 12.wav;13
6;2;Male;22;No;1;sad;21;9;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 14.wav;14
9;2;Male;22;No;1;sad;21;9;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 4.wav;15
3;2;Male;22;No;1;sad;21;9;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 23.wav;16
9;2;Male;22;No;1;sad;21;9;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 1.wav;17
7;2;Male;22;No;1;sad;21;9;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 15.wav;18
9;2;Male;22;No;1;sad;21;9;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 2.wav;19
2;2;Male;22;No;1;sad;21;9;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 18.wav;20
7;2;Male;22;No;1;sad;21;9;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 20.wav;21
9;2;Male;22;No;1;sad;21;9;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 5.wav;22
3;2;Male;22;No;1;sad;21;9;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 21.wav;23
2;2;Male;22;No;1;sad;21;9;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 16.wav;24
