rating;sadcolor;Gender;Age;musician;ID;condition;day born;happycolor;stim;no
4;6;Female;24;No;3;happy;6;9;ExperimentStims/Stim 13.wav;1
6;6;Female;24;No;3;happy;6;9;ExperimentStims/Stim 9.wav;2
5;6;Female;24;No;3;happy;6;9;ExperimentStims/Stim 21.wav;3
3;6;Female;24;No;3;happy;6;9;ExperimentStims/Stim 8.wav;4
6;6;Female;24;No;3;happy;6;9;ExperimentStims/Stim 16.wav;5
7;6;Female;24;No;3;happy;6;9;ExperimentStims/Stim 10.wav;6
7;6;Female;24;No;3;happy;6;9;ExperimentStims/Stim 17.wav;7
6;6;Female;24;No;3;happy;6;9;ExperimentStims/Stim 20.wav;8
7;6;Female;24;No;3;happy;6;9;ExperimentStims/Stim 4.wav;9
6;6;Female;24;No;3;happy;6;9;ExperimentStims/Stim 14.wav;10
5;6;Female;24;No;3;happy;6;9;ExperimentStims/Stim 1.wav;11
6;6;Female;24;No;3;happy;6;9;ExperimentStims/Stim 15.wav;12
4;6;Female;24;No;3;happy;6;9;ExperimentStims/Stim 24.wav;13
5;6;Female;24;No;3;happy;6;9;ExperimentStims/Stim 6.wav;14
6;6;Female;24;No;3;happy;6;9;ExperimentStims/Stim 19.wav;15
3;6;Female;24;No;3;happy;6;9;ExperimentStims/Stim 12.wav;16
3;6;Female;24;No;3;happy;6;9;ExperimentStims/Stim 2.wav;17
4;6;Female;24;No;3;happy;6;9;ExperimentStims/Stim 23.wav;18
7;6;Female;24;No;3;happy;6;9;ExperimentStims/Stim 22.wav;19
7;6;Female;24;No;3;happy;6;9;ExperimentStims/Stim 7.wav;20
5;6;Female;24;No;3;happy;6;9;ExperimentStims/Stim 3.wav;21
7;6;Female;24;No;3;happy;6;9;ExperimentStims/Stim 11.wav;22
8;6;Female;24;No;3;happy;6;9;ExperimentStims/Stim 18.wav;23
7;6;Female;24;No;3;happy;6;9;ExperimentStims/Stim 5.wav;24
