rating;sadcolor;Gender;Age;musician;ID;condition;day born;happycolor;stim;no
6;8;Male;25;No;3;happy;6;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 11.wav;1
6;8;Male;25;No;3;happy;6;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 24.wav;2
4;8;Male;25;No;3;happy;6;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 2.wav;3
3;8;Male;25;No;3;happy;6;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 9.wav;4
3;8;Male;25;No;3;happy;6;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 20.wav;5
2;8;Male;25;No;3;happy;6;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 3.wav;6
7;8;Male;25;No;3;happy;6;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 16.wav;7
3;8;Male;25;No;3;happy;6;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 7.wav;8
5;8;Male;25;No;3;happy;6;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 17.wav;9
3;8;Male;25;No;3;happy;6;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 19.wav;10
1;8;Male;25;No;3;happy;6;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 14.wav;11
2;8;Male;25;No;3;happy;6;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 21.wav;12
1;8;Male;25;No;3;happy;6;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 4.wav;13
4;8;Male;25;No;3;happy;6;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 10.wav;14
3;8;Male;25;No;3;happy;6;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 5.wav;15
5;8;Male;25;No;3;happy;6;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 8.wav;16
6;8;Male;25;No;3;happy;6;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 22.wav;17
7;8;Male;25;No;3;happy;6;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 6.wav;18
6;8;Male;25;No;3;happy;6;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 12.wav;19
5;8;Male;25;No;3;happy;6;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 13.wav;20
8;8;Male;25;No;3;happy;6;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 15.wav;21
9;8;Male;25;No;3;happy;6;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 18.wav;22
10;8;Male;25;No;3;happy;6;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 23.wav;23
4;8;Male;25;No;3;happy;6;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 1.wav;24
