rating;sadcolor;Gender;Age;musician;ID;condition;day born;happycolor;stim;no
3;;Female;56;No;4;happy;3;;ExperimentStims\Stim 6.wav;1
6;;Female;56;No;4;happy;3;;ExperimentStims\Stim 16.wav;2
7;;Female;56;No;4;happy;3;;ExperimentStims\Stim 2.wav;3
4;;Female;56;No;4;happy;3;;ExperimentStims\Stim 10.wav;4
2;;Female;56;No;4;happy;3;;ExperimentStims\Stim 24.wav;5
8;;Female;56;No;4;happy;3;;ExperimentStims\Stim 22.wav;6
6;;Female;56;No;4;happy;3;;ExperimentStims\Stim 3.wav;7
7;;Female;56;No;4;happy;3;;ExperimentStims\Stim 21.wav;8
4;;Female;56;No;4;happy;3;;ExperimentStims\Stim 11.wav;9
4;;Female;56;No;4;happy;3;;ExperimentStims\Stim 14.wav;10
3;;Female;56;No;4;happy;3;;ExperimentStims\Stim 5.wav;11
2;;Female;56;No;4;happy;3;;ExperimentStims\Stim 19.wav;12
1;;Female;56;No;4;happy;3;;ExperimentStims\Stim 12.wav;13
1;;Female;56;No;4;happy;3;;ExperimentStims\Stim 18.wav;14
2;;Female;56;No;4;happy;3;;ExperimentStims\Stim 13.wav;15
7;;Female;56;No;4;happy;3;;ExperimentStims\Stim 15.wav;16
4;;Female;56;No;4;happy;3;;ExperimentStims\Stim 17.wav;17
7;;Female;56;No;4;happy;3;;ExperimentStims\Stim 20.wav;18
8;;Female;56;No;4;happy;3;;ExperimentStims\Stim 9.wav;19
2;;Female;56;No;4;happy;3;;ExperimentStims\Stim 8.wav;20
4;;Female;56;No;4;happy;3;;ExperimentStims\Stim 1.wav;21
2;;Female;56;No;4;happy;3;;ExperimentStims\Stim 23.wav;22
1;;Female;56;No;4;happy;3;;ExperimentStims\Stim 7.wav;23
6;;Female;56;No;4;happy;3;;ExperimentStims\Stim 4.wav;24
