rating;sadcolor;Gender;Age;musician;ID;condition;day born;happycolor;stim;no
4;;Female;34;No;2;happy;14;;ExperimentStims\Stim 16.wav;1
5;;Female;34;No;2;happy;14;;ExperimentStims\Stim 17.wav;2
3;;Female;34;No;2;happy;14;;ExperimentStims\Stim 23.wav;3
6;;Female;34;No;2;happy;14;;ExperimentStims\Stim 14.wav;4
5;;Female;34;No;2;happy;14;;ExperimentStims\Stim 15.wav;5
7;;Female;34;No;2;happy;14;;ExperimentStims\Stim 18.wav;6
7;;Female;34;No;2;happy;14;;ExperimentStims\Stim 11.wav;7
4;;Female;34;No;2;happy;14;;ExperimentStims\Stim 9.wav;8
2;;Female;34;No;2;happy;14;;ExperimentStims\Stim 4.wav;9
2;;Female;34;No;2;happy;14;;ExperimentStims\Stim 8.wav;10
1;;Female;34;No;2;happy;14;;ExperimentStims\Stim 13.wav;11
4;;Female;34;No;2;happy;14;;ExperimentStims\Stim 20.wav;12
2;;Female;34;No;2;happy;14;;ExperimentStims\Stim 5.wav;13
4;;Female;34;No;2;happy;14;;ExperimentStims\Stim 1.wav;14
5;;Female;34;No;2;happy;14;;ExperimentStims\Stim 7.wav;15
4;;Female;34;No;2;happy;14;;ExperimentStims\Stim 19.wav;16
4;;Female;34;No;2;happy;14;;ExperimentStims\Stim 12.wav;17
3;;Female;34;No;2;happy;14;;ExperimentStims\Stim 21.wav;18
2;;Female;34;No;2;happy;14;;ExperimentStims\Stim 2.wav;19
5;;Female;34;No;2;happy;14;;ExperimentStims\Stim 3.wav;20
4;;Female;34;No;2;happy;14;;ExperimentStims\Stim 6.wav;21
4;;Female;34;No;2;happy;14;;ExperimentStims\Stim 22.wav;22
1;;Female;34;No;2;happy;14;;ExperimentStims\Stim 10.wav;23
4;;Female;34;No;2;happy;14;;ExperimentStims\Stim 24.wav;24
