rating;sadcolor;Gender;Age;musician;ID;condition;day born;happycolor;stim;no
4;4;Male;27;No;4;happy;10;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 1.wav;1
3;4;Male;27;No;4;happy;10;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 16.wav;2
3;4;Male;27;No;4;happy;10;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 13.wav;3
3;4;Male;27;No;4;happy;10;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 12.wav;4
6;4;Male;27;No;4;happy;10;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 4.wav;5
6;4;Male;27;No;4;happy;10;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 17.wav;6
6;4;Male;27;No;4;happy;10;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 24.wav;7
7;4;Male;27;No;4;happy;10;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 21.wav;8
6;4;Male;27;No;4;happy;10;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 10.wav;9
7;4;Male;27;No;4;happy;10;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 19.wav;10
8;4;Male;27;No;4;happy;10;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 9.wav;11
8;4;Male;27;No;4;happy;10;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 5.wav;12
8;4;Male;27;No;4;happy;10;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 15.wav;13
4;4;Male;27;No;4;happy;10;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 8.wav;14
6;4;Male;27;No;4;happy;10;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 18.wav;15
6;4;Male;27;No;4;happy;10;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 23.wav;16
7;4;Male;27;No;4;happy;10;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 22.wav;17
7;4;Male;27;No;4;happy;10;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 6.wav;18
7;4;Male;27;No;4;happy;10;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 11.wav;19
5;4;Male;27;No;4;happy;10;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 3.wav;20
8;4;Male;27;No;4;happy;10;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 14.wav;21
6;4;Male;27;No;4;happy;10;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 2.wav;22
7;4;Male;27;No;4;happy;10;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 7.wav;23
7;4;Male;27;No;4;happy;10;6;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 20.wav;24
