rating;sadcolor;Gender;Age;musician;ID;condition;day born;happycolor;stim;no
7;6;Female;22;No;8;happy;1;8;ExperimentStims\Stim 12.wav;1
8;6;Female;22;No;8;happy;1;8;ExperimentStims\Stim 9.wav;2
4;6;Female;22;No;8;happy;1;8;ExperimentStims\Stim 23.wav;3
2;6;Female;22;No;8;happy;1;8;ExperimentStims\Stim 22.wav;4
4;6;Female;22;No;8;happy;1;8;ExperimentStims\Stim 20.wav;5
5;6;Female;22;No;8;happy;1;8;ExperimentStims\Stim 21.wav;6
2;6;Female;22;No;8;happy;1;8;ExperimentStims\Stim 14.wav;7
4;6;Female;22;No;8;happy;1;8;ExperimentStims\Stim 18.wav;8
5;6;Female;22;No;8;happy;1;8;ExperimentStims\Stim 13.wav;9
5;6;Female;22;No;8;happy;1;8;ExperimentStims\Stim 1.wav;10
4;6;Female;22;No;8;happy;1;8;ExperimentStims\Stim 15.wav;11
7;6;Female;22;No;8;happy;1;8;ExperimentStims\Stim 16.wav;12
7;6;Female;22;No;8;happy;1;8;ExperimentStims\Stim 3.wav;13
5;6;Female;22;No;8;happy;1;8;ExperimentStims\Stim 6.wav;14
5;6;Female;22;No;8;happy;1;8;ExperimentStims\Stim 2.wav;15
6;6;Female;22;No;8;happy;1;8;ExperimentStims\Stim 19.wav;16
5;6;Female;22;No;8;happy;1;8;ExperimentStims\Stim 24.wav;17
8;6;Female;22;No;8;happy;1;8;ExperimentStims\Stim 11.wav;18
8;6;Female;22;No;8;happy;1;8;ExperimentStims\Stim 17.wav;19
10;6;Female;22;No;8;happy;1;8;ExperimentStims\Stim 7.wav;20
8;6;Female;22;No;8;happy;1;8;ExperimentStims\Stim 4.wav;21
8;6;Female;22;No;8;happy;1;8;ExperimentStims\Stim 5.wav;22
6;6;Female;22;No;8;happy;1;8;ExperimentStims\Stim 8.wav;23
6;6;Female;22;No;8;happy;1;8;ExperimentStims\Stim 10.wav;24
