rating;sadcolor;Gender;Age;musician;ID;condition;day born;happycolor;stim;no
3;;Male;53;No;1;sad;20;;ExperimentStims\Stim 24.wav;1
5;;Male;53;No;1;sad;20;;ExperimentStims\Stim 9.wav;2
6;;Male;53;No;1;sad;20;;ExperimentStims\Stim 22.wav;3
5;;Male;53;No;1;sad;20;;ExperimentStims\Stim 10.wav;4
4;;Male;53;No;1;sad;20;;ExperimentStims\Stim 15.wav;5
4;;Male;53;No;1;sad;20;;ExperimentStims\Stim 8.wav;6
4;;Male;53;No;1;sad;20;;ExperimentStims\Stim 16.wav;7
6;;Male;53;No;1;sad;20;;ExperimentStims\Stim 14.wav;8
4;;Male;53;No;1;sad;20;;ExperimentStims\Stim 18.wav;9
5;;Male;53;No;1;sad;20;;ExperimentStims\Stim 2.wav;10
7;;Male;53;No;1;sad;20;;ExperimentStims\Stim 20.wav;11
6;;Male;53;No;1;sad;20;;ExperimentStims\Stim 19.wav;12
5;;Male;53;No;1;sad;20;;ExperimentStims\Stim 6.wav;13
4;;Male;53;No;1;sad;20;;ExperimentStims\Stim 11.wav;14
4;;Male;53;No;1;sad;20;;ExperimentStims\Stim 13.wav;15
8;;Male;53;No;1;sad;20;;ExperimentStims\Stim 3.wav;16
6;;Male;53;No;1;sad;20;;ExperimentStims\Stim 1.wav;17
5;;Male;53;No;1;sad;20;;ExperimentStims\Stim 17.wav;18
4;;Male;53;No;1;sad;20;;ExperimentStims\Stim 23.wav;19
4;;Male;53;No;1;sad;20;;ExperimentStims\Stim 4.wav;20
4;;Male;53;No;1;sad;20;;ExperimentStims\Stim 12.wav;21
6;;Male;53;No;1;sad;20;;ExperimentStims\Stim 5.wav;22
7;;Male;53;No;1;sad;20;;ExperimentStims\Stim 7.wav;23
7;;Male;53;No;1;sad;20;;ExperimentStims\Stim 21.wav;24
