rating;sadcolor;Gender;Age;musician;ID;condition;day born;happycolor;stim;no
5;4;Male;25;No;2;sad;19;5;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 5.wav;1
5;4;Male;25;No;2;sad;19;5;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 22.wav;2
4;4;Male;25;No;2;sad;19;5;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 18.wav;3
4;4;Male;25;No;2;sad;19;5;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 11.wav;4
4;4;Male;25;No;2;sad;19;5;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 8.wav;5
3;4;Male;25;No;2;sad;19;5;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 10.wav;6
7;4;Male;25;No;2;sad;19;5;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 1.wav;7
7;4;Male;25;No;2;sad;19;5;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 21.wav;8
4;4;Male;25;No;2;sad;19;5;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 20.wav;9
5;4;Male;25;No;2;sad;19;5;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 12.wav;10
5;4;Male;25;No;2;sad;19;5;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 17.wav;11
7;4;Male;25;No;2;sad;19;5;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 6.wav;12
7;4;Male;25;No;2;sad;19;5;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 4.wav;13
7;4;Male;25;No;2;sad;19;5;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 9.wav;14
4;4;Male;25;No;2;sad;19;5;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 7.wav;15
5;4;Male;25;No;2;sad;19;5;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 24.wav;16
4;4;Male;25;No;2;sad;19;5;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 14.wav;17
5;4;Male;25;No;2;sad;19;5;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 2.wav;18
5;4;Male;25;No;2;sad;19;5;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 23.wav;19
7;4;Male;25;No;2;sad;19;5;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 3.wav;20
7;4;Male;25;No;2;sad;19;5;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 19.wav;21
4;4;Male;25;No;2;sad;19;5;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 16.wav;22
5;4;Male;25;No;2;sad;19;5;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 15.wav;23
5;4;Male;25;No;2;sad;19;5;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 13.wav;24
