rating;sadcolor;Gender;Age;musician;ID;condition;day born;happycolor;stim;no
7;;Male;28;No;3;sad;27;;ExperimentStims\Stim 7.wav;1
7;;Male;28;No;3;sad;27;;ExperimentStims\Stim 24.wav;2
6;;Male;28;No;3;sad;27;;ExperimentStims\Stim 15.wav;3
4;;Male;28;No;3;sad;27;;ExperimentStims\Stim 19.wav;4
5;;Male;28;No;3;sad;27;;ExperimentStims\Stim 3.wav;5
5;;Male;28;No;3;sad;27;;ExperimentStims\Stim 13.wav;6
6;;Male;28;No;3;sad;27;;ExperimentStims\Stim 18.wav;7
5;;Male;28;No;3;sad;27;;ExperimentStims\Stim 4.wav;8
4;;Male;28;No;3;sad;27;;ExperimentStims\Stim 5.wav;9
2;;Male;28;No;3;sad;27;;ExperimentStims\Stim 23.wav;10
5;;Male;28;No;3;sad;27;;ExperimentStims\Stim 21.wav;11
4;;Male;28;No;3;sad;27;;ExperimentStims\Stim 14.wav;12
3;;Male;28;No;3;sad;27;;ExperimentStims\Stim 10.wav;13
4;;Male;28;No;3;sad;27;;ExperimentStims\Stim 16.wav;14
4;;Male;28;No;3;sad;27;;ExperimentStims\Stim 1.wav;15
4;;Male;28;No;3;sad;27;;ExperimentStims\Stim 17.wav;16
5;;Male;28;No;3;sad;27;;ExperimentStims\Stim 20.wav;17
4;;Male;28;No;3;sad;27;;ExperimentStims\Stim 11.wav;18
4;;Male;28;No;3;sad;27;;ExperimentStims\Stim 2.wav;19
5;;Male;28;No;3;sad;27;;ExperimentStims\Stim 6.wav;20
3;;Male;28;No;3;sad;27;;ExperimentStims\Stim 12.wav;21
4;;Male;28;No;3;sad;27;;ExperimentStims\Stim 9.wav;22
1;;Male;28;No;3;sad;27;;ExperimentStims\Stim 8.wav;23
3;;Male;28;No;3;sad;27;;ExperimentStims\Stim 22.wav;24
