rating;sadcolor;Gender;Age;musician;ID;condition;day born;happycolor;stim;no
3;1;Female;21;Yes;07;happy;14;9;ExperimentStims/Stim 12.wav;1
4;1;Female;21;Yes;07;happy;14;9;ExperimentStims/Stim 9.wav;2
3;1;Female;21;Yes;07;happy;14;9;ExperimentStims/Stim 10.wav;3
4;1;Female;21;Yes;07;happy;14;9;ExperimentStims/Stim 19.wav;4
4;1;Female;21;Yes;07;happy;14;9;ExperimentStims/Stim 14.wav;5
4;1;Female;21;Yes;07;happy;14;9;ExperimentStims/Stim 3.wav;6
3;1;Female;21;Yes;07;happy;14;9;ExperimentStims/Stim 15.wav;7
4;1;Female;21;Yes;07;happy;14;9;ExperimentStims/Stim 4.wav;8
2;1;Female;21;Yes;07;happy;14;9;ExperimentStims/Stim 16.wav;9
3;1;Female;21;Yes;07;happy;14;9;ExperimentStims/Stim 13.wav;10
5;1;Female;21;Yes;07;happy;14;9;ExperimentStims/Stim 7.wav;11
4;1;Female;21;Yes;07;happy;14;9;ExperimentStims/Stim 20.wav;12
4;1;Female;21;Yes;07;happy;14;9;ExperimentStims/Stim 24.wav;13
5;1;Female;21;Yes;07;happy;14;9;ExperimentStims/Stim 23.wav;14
5;1;Female;21;Yes;07;happy;14;9;ExperimentStims/Stim 6.wav;15
4;1;Female;21;Yes;07;happy;14;9;ExperimentStims/Stim 21.wav;16
4;1;Female;21;Yes;07;happy;14;9;ExperimentStims/Stim 2.wav;17
4;1;Female;21;Yes;07;happy;14;9;ExperimentStims/Stim 22.wav;18
3;1;Female;21;Yes;07;happy;14;9;ExperimentStims/Stim 1.wav;19
3;1;Female;21;Yes;07;happy;14;9;ExperimentStims/Stim 5.wav;20
6;1;Female;21;Yes;07;happy;14;9;ExperimentStims/Stim 11.wav;21
7;1;Female;21;Yes;07;happy;14;9;ExperimentStims/Stim 18.wav;22
7;1;Female;21;Yes;07;happy;14;9;ExperimentStims/Stim 17.wav;23
5;1;Female;21;Yes;07;happy;14;9;ExperimentStims/Stim 8.wav;24
