rating;sadcolor;Gender;Age;musician;ID;condition;day born;happycolor;stim;no
7;7;Male;22;No;6;sad;16;7;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 6.wav;1
5;7;Male;22;No;6;sad;16;7;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 8.wav;2
6;7;Male;22;No;6;sad;16;7;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 17.wav;3
7;7;Male;22;No;6;sad;16;7;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 4.wav;4
5;7;Male;22;No;6;sad;16;7;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 18.wav;5
4;7;Male;22;No;6;sad;16;7;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 12.wav;6
8;7;Male;22;No;6;sad;16;7;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 20.wav;7
6;7;Male;22;No;6;sad;16;7;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 5.wav;8
8;7;Male;22;No;6;sad;16;7;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 15.wav;9
3;7;Male;22;No;6;sad;16;7;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 9.wav;10
5;7;Male;22;No;6;sad;16;7;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 19.wav;11
2;7;Male;22;No;6;sad;16;7;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 21.wav;12
4;7;Male;22;No;6;sad;16;7;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 16.wav;13
7;7;Male;22;No;6;sad;16;7;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 11.wav;14
6;7;Male;22;No;6;sad;16;7;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 14.wav;15
8;7;Male;22;No;6;sad;16;7;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 7.wav;16
3;7;Male;22;No;6;sad;16;7;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 24.wav;17
4;7;Male;22;No;6;sad;16;7;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 13.wav;18
6;7;Male;22;No;6;sad;16;7;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 3.wav;19
8;7;Male;22;No;6;sad;16;7;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 23.wav;20
6;7;Male;22;No;6;sad;16;7;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 10.wav;21
2;7;Male;22;No;6;sad;16;7;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 22.wav;22
7;7;Male;22;No;6;sad;16;7;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 1.wav;23
5;7;Male;22;No;6;sad;16;7;C:/Users/tamec/Desktop/Programming/PsychoPy/PsychoPy Projects/ExperimentStims\Stim 2.wav;24
